epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
79,4262.57,0.49135,0.9563,0.45617,0.92517,0,0.93541,0.92769,0.96833,0.8601,0.9337,0.9296,0.96758,0.80954,0.49701,0.9988,0.4871,0.90538,0,0.0002278,0.0002278,0.0002278
80,4315.12,0.48738,0.95228,0.45663,0.92651,0,0.93275,0.92988,0.96699,0.85941,0.93278,0.92856,0.96561,0.81378,0.49752,1.00347,0.49329,0.90777,0,0.0002179,0.0002179,0.0002179
81,4367.65,0.49086,0.96168,0.45669,0.93116,0,0.93418,0.93169,0.96678,0.85942,0.93515,0.93181,0.96602,0.81109,0.50943,0.99749,0.49754,0.91384,0,0.000208,0.000208,0.000208
82,4419.25,0.49442,0.97302,0.45796,0.92747,0,0.93421,0.92457,0.96625,0.86065,0.93509,0.92485,0.96507,0.8119,0.48849,1.00357,0.48485,0.90382,0,0.0001981,0.0001981,0.0001981
83,4471.07,0.4905,0.95691,0.45487,0.92773,0,0.93277,0.92382,0.96726,0.86094,0.93198,0.92293,0.96551,0.81339,0.49083,1.00141,0.48335,0.90312,0,0.0001882,0.0001882,0.0001882
84,4523.66,0.48668,0.9523,0.44808,0.928,0,0.93324,0.92328,0.96537,0.85975,0.93379,0.91913,0.96239,0.80949,0.49513,1.01418,0.4889,0.90638,0,0.0001783,0.0001783,0.0001783
85,4575.76,0.49205,0.96035,0.45636,0.92787,0,0.93193,0.93042,0.96697,0.85956,0.93119,0.92893,0.96428,0.81105,0.49185,0.99876,0.47152,0.90681,0,0.0001684,0.0001684,0.0001684
86,4627.86,0.48163,0.93816,0.4443,0.92306,0,0.93636,0.92498,0.96618,0.86198,0.93615,0.92452,0.96384,0.81395,0.49001,1.01303,0.48359,0.90603,0,0.0001585,0.0001585,0.0001585
87,4679.62,0.48134,0.94173,0.44287,0.92574,0,0.94006,0.92874,0.96828,0.86292,0.94038,0.92681,0.9659,0.8146,0.48643,1.00663,0.47351,0.90448,0,0.0001486,0.0001486,0.0001486
88,4731.79,0.4826,0.94952,0.43361,0.91798,0,0.93483,0.92593,0.96773,0.86386,0.94208,0.91688,0.96452,0.81545,0.48243,1.00189,0.46439,0.90468,0,0.0001387,0.0001387,0.0001387
89,4784.61,0.48107,0.94874,0.44163,0.91978,0,0.9368,0.92695,0.96738,0.86317,0.94215,0.92041,0.96351,0.81489,0.48807,0.99217,0.47648,0.90344,0,0.0001288,0.0001288,0.0001288
90,4837.05,0.47864,0.94205,0.44245,0.92188,0,0.9413,0.92875,0.96797,0.863,0.94267,0.92576,0.96579,0.81447,0.4928,1.01843,0.47141,0.9089,0,0.0001189,0.0001189,0.0001189
91,4875.36,0.42031,0.8429,0.35302,0.88977,0,0.92656,0.93483,0.96645,0.8597,0.92653,0.93483,0.96451,0.81092,0.49634,1.04731,0.4793,0.91318,0,0.000109,0.000109,0.000109
92,4911.2,0.40251,0.81212,0.33958,0.88649,0,0.93881,0.92738,0.9684,0.86306,0.93931,0.92684,0.96602,0.81425,0.49261,1.01114,0.46984,0.9104,0,9.91e-05,9.91e-05,9.91e-05
93,4946.98,0.40749,0.80575,0.33521,0.88834,0,0.93824,0.92695,0.9666,0.86542,0.93927,0.92552,0.96498,0.81742,0.47969,0.99767,0.47128,0.90664,0,8.92e-05,8.92e-05,8.92e-05
94,4982.93,0.40599,0.80196,0.33325,0.89057,0,0.93449,0.93091,0.96674,0.86425,0.9376,0.92576,0.9651,0.81757,0.48242,0.99744,0.46934,0.90611,0,7.93e-05,7.93e-05,7.93e-05
95,5018.33,0.4003,0.80236,0.32601,0.88564,0,0.93768,0.92944,0.96725,0.86621,0.93973,0.92807,0.96551,0.81854,0.48039,1.0002,0.46795,0.90679,0,6.94e-05,6.94e-05,6.94e-05
96,5053.85,0.40492,0.79871,0.3284,0.88575,0,0.94111,0.92953,0.96755,0.86537,0.94374,0.92706,0.96603,0.81925,0.48134,0.99595,0.47422,0.90458,0,5.95e-05,5.95e-05,5.95e-05
97,5089.69,0.40238,0.80108,0.32876,0.89052,0,0.94105,0.92702,0.96789,0.86488,0.94301,0.92569,0.96585,0.81873,0.47792,0.99744,0.46347,0.89955,0,4.96e-05,4.96e-05,4.96e-05
98,5125.54,0.39502,0.78506,0.31711,0.88194,0,0.94417,0.92825,0.96858,0.86701,0.94495,0.92813,0.9667,0.81968,0.4802,1.00209,0.46396,0.90204,0,3.97e-05,3.97e-05,3.97e-05
99,5161.68,0.39381,0.78496,0.31739,0.88129,0,0.94164,0.92936,0.96849,0.86801,0.9445,0.9269,0.96649,0.82116,0.47507,0.98929,0.45752,0.89936,0,2.98e-05,2.98e-05,2.98e-05
100,5197.48,0.38644,0.77634,0.31598,0.88005,0,0.937,0.9328,0.96848,0.86818,0.9431,0.92771,0.96667,0.82027,0.47518,0.99376,0.46,0.89824,0,1.99e-05,1.99e-05,1.99e-05
