epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
52,6254.79,0.49063,0.92363,0.42836,0.91596,0,0.92266,0.93334,0.96231,0.88637,0.92393,0.93335,0.9639,0.84605,0.39961,0.79501,0.34679,0.82564,0,0.0004951,0.0004951,0.0004951
53,6518.37,0.48839,0.91502,0.4241,0.91424,0,0.92895,0.93045,0.96425,0.88603,0.92974,0.93102,0.96537,0.84842,0.40111,0.77199,0.33959,0.82512,0,0.0004852,0.0004852,0.0004852
54,6784.9,0.4887,0.92755,0.42622,0.91471,0,0.90501,0.93585,0.95815,0.88649,0.90746,0.93833,0.96046,0.84627,0.38564,0.78137,0.34487,0.82461,0,0.0004753,0.0004753,0.0004753
55,7054.24,0.48984,0.91994,0.42051,0.91436,0,0.93087,0.93893,0.96431,0.89225,0.93202,0.94003,0.96576,0.85232,0.38711,0.76506,0.33464,0.82194,0,0.0004654,0.0004654,0.0004654
56,7292.02,0.48519,0.8988,0.41835,0.91458,0,0.92641,0.94112,0.96635,0.89326,0.93023,0.94321,0.96883,0.85991,0.39187,0.76152,0.32792,0.81968,0,0.0004555,0.0004555,0.0004555
57,7461.36,0.48808,0.9146,0.42038,0.91378,0,0.93453,0.94238,0.96699,0.89593,0.93484,0.94294,0.96834,0.85372,0.38456,0.76555,0.32071,0.81496,0,0.0004456,0.0004456,0.0004456
58,7585.46,0.477,0.89828,0.41178,0.90945,0,0.9273,0.93733,0.96628,0.89637,0.92928,0.93928,0.96761,0.8579,0.38226,0.75209,0.32482,0.82189,0,0.0004357,0.0004357,0.0004357
59,7705.38,0.4804,0.90223,0.41112,0.90963,0,0.91932,0.9526,0.96571,0.89745,0.92062,0.95488,0.96661,0.85579,0.36841,0.74602,0.32023,0.8099,0,0.0004258,0.0004258,0.0004258
60,7828.94,0.47666,0.8914,0.40849,0.90677,0,0.93061,0.93888,0.96739,0.8993,0.93114,0.93945,0.96739,0.85548,0.3779,0.77005,0.32044,0.81823,0,0.0004159,0.0004159,0.0004159
61,7941.48,0.47148,0.88716,0.40291,0.9053,0,0.93523,0.92883,0.96365,0.89375,0.93602,0.9297,0.96338,0.8514,0.37946,0.76074,0.32664,0.81807,0,0.000406,0.000406,0.000406
62,8064.12,0.47393,0.89098,0.40644,0.9079,0,0.9368,0.93202,0.96743,0.89971,0.9382,0.93343,0.96823,0.8562,0.36878,0.75981,0.31684,0.81172,0,0.0003961,0.0003961,0.0003961
63,8170.52,0.47373,0.88233,0.40408,0.90588,0,0.93696,0.93486,0.96599,0.89818,0.93774,0.93574,0.96618,0.8543,0.37845,0.76241,0.3255,0.81679,0,0.0003862,0.0003862,0.0003862
64,8277.76,0.46628,0.87947,0.401,0.90358,0,0.92536,0.94933,0.96799,0.89783,0.92525,0.95019,0.96853,0.85516,0.37475,0.75366,0.31549,0.8175,0,0.0003763,0.0003763,0.0003763
65,8383.55,0.46948,0.87974,0.39977,0.90654,0,0.92123,0.94479,0.96443,0.89691,0.92429,0.9478,0.96715,0.85907,0.36967,0.74591,0.31778,0.81036,0,0.0003664,0.0003664,0.0003664
66,8490.28,0.46679,0.87808,0.39756,0.9037,0,0.92175,0.94216,0.9677,0.89783,0.924,0.94245,0.9685,0.86006,0.37214,0.74804,0.31781,0.81614,0,0.0003565,0.0003565,0.0003565
67,8596.98,0.46984,0.8807,0.40014,0.90273,0,0.92616,0.93482,0.96521,0.89691,0.9273,0.93592,0.96576,0.86107,0.3643,0.73509,0.32366,0.811,0,0.0003466,0.0003466,0.0003466
68,8703.37,0.46808,0.87705,0.39543,0.90465,0,0.93414,0.92681,0.96453,0.89981,0.93561,0.92801,0.96509,0.85844,0.36034,0.75596,0.31727,0.80831,0,0.0003367,0.0003367,0.0003367
69,8810.23,0.46056,0.86261,0.39507,0.90144,0,0.92906,0.94153,0.96769,0.89948,0.93017,0.94263,0.96937,0.86071,0.36719,0.75085,0.31299,0.81725,0,0.0003268,0.0003268,0.0003268
70,8915.98,0.46205,0.86908,0.39581,0.9038,0,0.91756,0.92974,0.96245,0.89777,0.91894,0.93114,0.9634,0.85928,0.36109,0.73407,0.32835,0.81207,0,0.0003169,0.0003169,0.0003169
